party_list_seat,name,last_name,date_of_birth,description,personal_id
1,Justinas,Rokas,1952-06-22,Description,35206221877
2,Michal,Žeromskij,1982-07-12,Description,48207121894
3,Dovilė,Raudys,1988-02-17,Description,48802170921
4,Laurynas,Grabovskaja,1962-03-28,Description,46203282127
5,Bronislavas,Vasiliauskas,1933-11-05,Description,43311059220
6,Modesta,Kugmerov,1942-12-01,Description,44212018910
7,Marijan,Jasilionienė,1954-02-06,Description,35402060385
8,Adelė,Baliukonienė,1941-10-13,Description,44110137268
9,Andriejus,Griciūnienė,1945-11-08,Description,44511082749
10,Skirmantas,Bansevičius,1945-05-15,Description,34505154709
11,Vitalij,Pakeltis,1964-07-18,Description,46407184356
12,Aivaras,Viršilas,1952-12-02,Description,45212026308
13,Arminas,Vyšniauskas,1997-10-01,Description,49710010771
14,Liudas,Valys,1947-04-20,Description,44704204307
15,Reimundas,Pranckevičius,1963-06-20,Description,46306204814
16,Denis,Rogožinskaja,1940-03-08,Description,44003080401
17,Gediminas,Ancius,1984-04-28,Description,38404280413
18,Sabina,Melianas,1985-11-15,Description,38511158174
19,Rėda,Jakimavičius,1953-01-29,Description,35301290725
20,Bronius,Baginskas,1991-10-25,Description,39110255009
21,Jelena,Paleckis,1943-08-19,Description,34308193881
22,Einaras,Zuokas,1972-04-23,Description,37204232830
23,Roma,Kalkienė,1962-11-14,Description,46211148514
24,Vasilijus,Leonavičienė,1980-08-16,Description,38008162643
25,Linas,Burkauskas,1949-02-13,Description,34902138033
26,Marijan,Juškauskas,1951-09-24,Description,45109243581
27,Arimantas,Banevičienė,1947-01-24,Description,44701240144
28,Rytis,Vinkus,1963-07-11,Description,46307110540
29,Reda,Kvedaravičius,1956-09-04,Description,45609048590
30,Nerijus,Petkus,1966-10-26,Description,36610261478
